1,Frederik Andersen\anderfr01,30,TOR,2,2,1,1,1,54,53,.981,0.50,1,,119,2,1.000,0,24,3.24,0,0,0,0
2,Jordan Binnington\binnijo01,26,STL,1,1,0,1,2,38,36,.947,2.02,0,,59,1,1.000,0,67,0.98,0,0,0,0
3,Ben Bishop\bishobe01,33,DAL,1,1,0,1,4,32,28,.875,4.08,0,,59,0,.000,0,159,-1.49,0,0,0,0
4,Sergei Bobrovsky\bobrose01,31,FLA,2,2,0,2,6,62,56,.903,3.09,0,,117,1,.500,0,123,-1.13,0,0,0,0
5,Corey Crawford\crawfco01,35,CHI,2,2,1,1,10,64,54,.844,5.00,0,,120,0,.000,1,199,-4.97,0,0,0,0
6,Philipp Grubauer\grubaph01,28,COL,1,1,1,0,1,32,31,.969,1.01,0,,59,1,1.000,0,40,1.51,0,0,0,0
7,Jaroslav Halak\halakja01,34,BOS,1,1,0,1,4,29,25,.862,4.30,0,,56,0,.000,0,176,-1.72,0,0,0,0
8,Carter Hart\hartca01,21,PHI,1,1,1,0,1,35,34,.971,1.00,0,,60,1,1.000,0,36,1.75,0,0,0,0
9,Connor Hellebuyck\helleco01,26,WPG,3,3,1,2,10,93,83,.892,3.38,0,,178,1,.333,1,137,-2.70,0,0,0,0
10,Braden Holtby\holtbbr01,30,WSH,1,,0,0,2,28,26,.929,1.85,0,,65,,,,91,0.20,0,0,0,0
11,Joonas Korpisalo\korpijo01,25,CBJ,2,2,1,1,2,66,64,.970,1.02,1,,118,2,1.000,0,39,3.18,0,0,0,0
12,Mikko Koskinen\koskimi01,31,EDM,2,1,1,0,4,45,41,.911,2.65,0,,91,0,.000,0,113,-0.47,0,0,0,0
13,Darcy Kuemper\kuempda01,29,ARI,2,2,1,1,7,71,64,.901,3.55,0,,118,1,.500,0,126,-1.42,0,0,0,0
14,Robin Lehner\lehnero01,28,VEG,1,1,1,0,3,27,24,.889,3.02,0,,60,0,.000,0,141,-0.88,0,0,0,0
15,Henrik Lundqvist\lundqhe01,37,NYR,2,2,0,2,7,71,64,.901,3.52,0,,119,1,.500,0,126,-1.42,0,0,0,0
16,Jacob Markstrom\marksja02,30,VAN,2,2,0,1,3,39,36,.923,2.28,0,,79,2,1.000,0,98,0.06,0,0,0,0
17,Petr Mrazek\mrazepe01,27,CAR,2,2,2,0,3,50,47,.940,1.50,0,,120,2,1.000,0,76,0.93,0,0,0,0
18,Matt Murray\murrama02,25,PIT,2,2,1,0,4,62,58,.935,1.79,0,,134,2,1.000,0,82,0.87,0,0,0,0
19,Carey Price\priceca01,32,MTL,2,2,1,1,4,78,74,.949,1.82,0,,132,2,1.000,0,65,2.13,0,0,0,0
20,James Reimer\reimeja01,31,CAR,1,1,1,0,1,38,37,.974,1.00,0,,60,1,1.000,0,34,1.98,0,0,0,0
21,Juuse Saros\sarosju01,24,NSH,2,2,1,1,6,63,57,.905,3.04,0,,118,1,.500,0,121,-1.05,0,0,0,0
22,Igor Shesterkin\shestig01,24,NYR,1,1,0,1,3,30,27,.900,3.10,0,,58,0,.000,0,127,-0.64,0,0,0,0
23,Mike Smith\smithmi01,37,EDM,1,1,0,1,5,23,18,.783,11.31,0,,27,0,.000,1,277,-3.19,0,0,0,0
24,Alex Stalock\staloal01,32,MIN,2,2,1,0,1,39,38,.974,0.75,1,,81,2,1.000,0,33,2.06,0,0,0,0
25,Cam Talbot\talboca01,32,CGY,3,3,2,1,6,79,73,.924,2.02,0,,178,2,.667,0,97,0.20,0,0,0,0
26,Semyon Varlamov\varlasi01,31,NYI,2,2,2,0,3,56,53,.946,1.50,0,,120,2,1.000,0,68,1.40,0,0,0,0
27,Andrei Vasilevskiy\vasilan02,25,TBL,1,,1,0,2,33,31,.939,1.85,0,,65,,,,77,0.59,0,0,0,0